#       time         integral Re         integral Im         integral Re         integral Im
#       r =            50.000000           50.000000          200.000000          200.000000
   0.0000000    2.5295657536e-16   -1.3992383368e-17   -1.0453030481e-16    1.3161021307e-17
   1.0000000   -3.9156973667e-16    1.3230073867e-16   -1.7038632953e-16   -4.6329432256e-18
   2.0000000   -3.2618126599e-16   -5.3680110957e-17   -1.0647309679e-17   -4.6870477325e-18
   3.0000000    3.1322581607e-16   -6.7921990097e-17    7.1389486931e-17   -5.2620142525e-17
   4.0000000    9.3757065651e-17    6.5458290852e-17    9.9876302810e-17   -6.8610520643e-17
   5.0000000   -5.1651902894e-17    1.0445910329e-16   -3.5487278519e-17   -1.2833630607e-16
   6.0000000    7.0840264814e-17    4.8294273927e-17    2.3328407366e-17    2.9370168438e-17
   7.0000000   -6.4660569735e-17    1.1842753762e-16   -4.7575408160e-17   -2.4667455868e-17
   8.0000000    6.2954581064e-16    6.5224735716e-17    1.1285041286e-17    7.6538174563e-17
   9.0000000   -1.3580447213e-15   -5.9967347396e-17    7.1108758872e-17   -1.2159163774e-16
  10.0000000   -3.4642033435e-15    1.1367101562e-16   -4.5698721866e-17   -1.7665949662e-16
  11.0000000    1.1949409349e-14    1.0775348889e-15   -8.4246419835e-17    1.1892353386e-17
  12.0000000    1.6868062867e-14   -4.0855352820e-15   -1.4970690411e-16    6.4984685425e-17
  13.0000000   -5.4166868938e-14   -3.9858476243e-15   -1.3540622189e-16   -6.3963940929e-18
  14.0000000   -1.0316209269e-13    1.6223963142e-14   -2.0220788694e-18    5.1929947274e-17
  15.0000000    1.1534707551e-13    1.4436106828e-14    2.4998451859e-16    1.0193933998e-16
  16.0000000    4.6560335725e-13   -2.8856856425e-14    3.3685701597e-16    1.5129474855e-16
  17.0000000    3.0881657728e-13   -6.7105663066e-15    2.0190353320e-16    2.7669245585e-17
  18.0000000   -5.9951627574e-13    7.9332492086e-14   -6.1483008963e-17   -3.3151934652e-17
  19.0000000   -1.3974683716e-12   -4.3032001550e-14   -6.9700213994e-17   -1.9427369926e-16
  20.0000000   -1.0518354508e-12   -3.6382941948e-13    1.7033912527e-17   -3.4522360614e-16
  21.0000000    1.1523537314e-13   -2.5335058704e-13    2.8519172922e-16   -2.3850373627e-16
  22.0000000    8.0336634233e-13    5.5639611693e-13    3.8336856634e-16   -1.2543162185e-16
  23.0000000    9.9692278510e-13    1.0804078485e-12    4.2022070374e-16    1.4962264158e-18
  24.0000000    2.5571197432e-12    2.7534167866e-13    4.0447596162e-17   -1.7834255226e-16
  25.0000000    6.0518344039e-12   -1.0342557218e-12   -6.0184058743e-16    1.2968159612e-16
  26.0000000    7.5729773778e-12   -1.3489809224e-12   -9.8409564395e-16    4.0438894818e-16
  27.0000000    5.7044186083e-13   -4.3016248757e-13   -6.0606897662e-16    4.2029198603e-16
  28.0000000   -1.7736484294e-11    1.3562989034e-12   -6.2406259090e-16    4.0808785620e-16
  29.0000000   -4.3247708693e-11   -1.3299500738e-12   -1.2434256985e-15   -1.2136852489e-17
  30.0000000   -7.2998276663e-11   -7.7857043392e-12   -2.8922183824e-15   -8.8721964331e-16
  31.0000000   -9.8195336498e-11   -1.4744853698e-11   -4.5105430158e-15   -1.9295007664e-15
  32.0000000   -1.1325704582e-10   -1.4426360370e-11   -4.2645463170e-15   -2.0803548671e-15
  33.0000000   -5.3867733792e-11    1.0105501821e-11   -3.6354263024e-16   -1.3429395597e-15
  34.0000000    8.9700171478e-11   -3.3369010836e-11    7.4354093243e-15    8.6419409394e-16
  35.0000000   -3.3266068852e-10   -2.3558300121e-10    1.5362218669e-14    4.0693861227e-15
  36.0000000   -6.8838798238e-10   -5.4435803500e-11    1.8400346160e-14    6.8798892832e-15
  37.0000000    7.5293764245e-10    3.7943994797e-10    1.2368850443e-14    7.8822723671e-15
  38.0000000    9.9554233015e-10    1.0744923842e-10   -1.9397656617e-15    5.9381206413e-15
  39.0000000   -1.2805300604e-09   -7.8967271371e-10   -1.8787035239e-14    9.7047773954e-16
  40.0000000   -9.0635787031e-10   -2.2057078816e-11   -2.7849058634e-14   -6.2866993015e-15
  41.0000000    1.0048257433e-09    6.2883882171e-10   -2.0555765324e-14   -1.4216336035e-14
  42.0000000    7.0568373843e-10   -3.6998676634e-10    5.3365875237e-15   -2.1463505768e-14
  43.0000000   -3.2714847956e-10    3.0739961700e-11    4.0515633798e-14   -2.6936226220e-14
  44.0000000   -7.0471788539e-10    2.8375905977e-10    6.7164571779e-14   -2.9800938710e-14
  45.0000000   -3.5319050090e-11   -4.0992331755e-10    6.5177442798e-14   -2.7162978667e-14
  46.0000000   -1.2649085880e-11    5.0740924700e-11    2.0913666539e-14   -1.5153666624e-14
  47.0000000   -9.6941108361e-10    3.1898951930e-11   -6.3687707497e-14    1.2637921492e-14
  48.0000000    2.0953923850e-09   -1.2434656832e-09   -1.7026331625e-13    6.3654478796e-14
  49.0000000    5.7635219314e-09    9.8170552066e-11   -2.6774554504e-13    1.4401768763e-13
  50.0000000    3.3995403939e-09    2.6585097170e-09   -3.2249716566e-13    2.5563897010e-13
  51.0000000   -7.9396772122e-10    1.4847609159e-09   -3.1000539200e-13    3.9656886080e-13
  52.0000000   -6.3933886387e-09   -3.4422329448e-09   -2.2423732368e-13    5.5938892497e-13
  53.0000000   -1.2610905121e-08   -7.2381355970e-09   -8.1268922121e-14    7.3479754203e-13
  54.0000000   -1.6812649350e-08   -5.5763295870e-09    8.4421840702e-14    9.1628391332e-13
  55.0000000   -1.1923674550e-08    1.4339431149e-09    2.2686884414e-13    1.1023230472e-12
  56.0000000    8.8153215518e-09    9.0149740736e-09    2.9785832935e-13    1.2979965487e-12
  57.0000000    3.0432507062e-08    1.0909099094e-08    2.5506361943e-13    1.5151008655e-12
  58.0000000    3.5714639901e-08    8.6619742772e-09    6.7738828192e-14    1.7683604820e-12
  59.0000000    2.3863310692e-08    6.8825065471e-09   -2.7701945057e-13    2.0726922217e-12
  60.0000000   -3.8120242694e-09    3.7124171001e-09   -7.6984794513e-13    2.4389161575e-12
  61.0000000   -2.9218329982e-08   -9.7161570603e-09   -1.3752398905e-12    2.8697042945e-12
  62.0000000   -2.6912791963e-08   -2.6112945434e-08   -2.0296526868e-12    3.3584382703e-12
  63.0000000   -5.0071172128e-09   -1.8817893821e-08   -2.6422192912e-12    3.8867281345e-12
  64.0000000   -5.9842612390e-09    1.3151062402e-08   -3.1015554685e-12    4.4283128388e-12
  65.0000000   -3.2575748822e-08    3.1295826095e-08   -3.2880723038e-12    4.9486726781e-12
  66.0000000   -2.4904349995e-08    1.2123764798e-08   -3.0907349096e-12    5.4110483674e-12
  67.0000000    2.4134132764e-08   -2.4549912923e-08   -2.4244719727e-12    5.7805929547e-12
  68.0000000    4.1518468954e-08   -4.5893141504e-08   -1.2471296480e-12    6.0303931774e-12
  69.0000000    5.3394112552e-09   -2.5715777305e-08    4.2955200558e-13    6.1467353163e-12
  70.0000000   -1.5248600958e-08    3.4424954719e-08    2.5386424375e-12    6.1333013807e-12
  71.0000000    1.3698392684e-08    7.6200571026e-08    4.9639880892e-12    6.0152907220e-12
  72.0000000    4.0553111347e-08    4.1725810964e-08    7.5554670912e-12    5.8357170021e-12
  73.0000000    2.6018091630e-08   -2.7773982282e-08    1.0148110473e-11    5.6526740967e-12
  74.0000000   -5.0903146733e-09   -5.0879827652e-08    1.2582666537e-11    5.5304707763e-12
  75.0000000   -2.4407902834e-08   -2.4894647233e-08    1.4725072867e-11    5.5283827597e-12
  76.0000000   -2.6557570932e-08    4.0832657472e-09    1.6478767349e-11    5.6914717150e-12
  77.0000000   -1.3076643067e-08    1.3936509957e-08    1.7789026637e-11    6.0438098840e-12
  78.0000000    7.7057311533e-09    6.2218099194e-09    1.8641547930e-11    6.5868553881e-12
  79.0000000    1.2851313973e-08   -1.2803875934e-08    1.9057715804e-11    7.3015762415e-12
  80.0000000   -6.7995901354e-09   -1.4339490273e-08    1.9083496476e-11    8.1555878867e-12
  81.0000000   -2.4615491965e-08    1.7747903019e-08    1.8779849532e-11    9.1097803314e-12
  82.0000000   -2.8780217009e-08    3.7408025672e-08    1.8210326518e-11    1.0122726480e-11
  83.0000000   -3.0168543129e-08    3.7881471384e-09    1.7428576398e-11    1.1148672264e-11
  84.0000000   -1.4192669075e-08   -4.5607967150e-08    1.6463020668e-11    1.2132004292e-11
  85.0000000    4.0499389341e-08   -4.5357851926e-08    1.5306703620e-11    1.3001543329e-11
  86.0000000    9.8699173548e-08    8.4873421175e-09    1.3914947233e-11    1.3668302788e-11
  87.0000000    9.5747307123e-08    5.8373078598e-08    1.2213626054e-11    1.4027146711e-11
  88.0000000    1.9565412694e-08    5.1769888954e-08    1.0122724143e-11    1.3969811546e-11
  89.0000000   -7.6155428162e-08   -7.3558017117e-09    7.5833229213e-12    1.3401435155e-11
  90.0000000   -1.1659163890e-07   -7.0604006451e-08    4.5852740796e-12    1.2258485369e-11
  91.0000000   -6.4154518156e-08   -9.2114040644e-08    1.1908372054e-12    1.0521520463e-11
  92.0000000    3.8176490764e-08   -4.2733145460e-08   -2.4564468984e-12    8.2196403432e-12
  93.0000000    9.2269174093e-08    5.8093332799e-08   -6.1358174930e-12    5.4211418236e-12
  94.0000000    4.7645851136e-08    1.2477186390e-07   -9.5922704428e-12    2.2018063785e-12
  95.0000000   -3.6225249737e-08    9.0350805770e-08   -1.2634580014e-11   -1.4053861573e-12
  96.0000000   -7.0300002406e-08   -2.3656243679e-08   -1.5282795379e-11   -5.4530858936e-12
  97.0000000   -4.6152900732e-08   -1.3363651123e-07   -1.7886517332e-11   -1.0051462802e-11
  98.0000000   -1.3249479853e-08   -1.6936917141e-07   -2.1056938101e-11   -1.5213186470e-11
  99.0000000    1.0470553136e-08   -1.1086700087e-07   -2.5280936351e-11   -2.0605261479e-11
 100.0000000    3.5619864189e-08    3.2666522372e-09   -3.0279918982e-11   -2.5418045945e-11
 101.0000000    4.5237595953e-08    7.9921284709e-08   -3.4514232662e-11   -2.8706177502e-11
 102.0000000    1.1496081507e-08    5.9191572693e-08   -3.5504252773e-11   -3.0434242557e-11
 103.0000000   -4.8297162761e-08   -2.0210842669e-08   -3.1522074244e-11   -3.2850648026e-11
 104.0000000   -9.6717271551e-08   -8.4856407710e-08   -2.4473739115e-11   -4.0797646768e-11
 105.0000000   -1.1942348840e-07   -9.1440660094e-08   -2.2400516759e-11   -5.8833958778e-11
 106.0000000   -1.0032867082e-07   -1.9445974294e-08   -3.8356307118e-11   -8.4088995332e-11
