#       time         integral Re         integral Im         integral Re         integral Im
#       r =            50.000000           50.000000          200.000000          200.000000
   0.0000000    1.1730894821e-05   -3.1316508901e-05    4.5026223739e-08   -5.2780324725e-07
   1.0000000    1.1716509500e-05   -3.1807974852e-05    4.5008144690e-08   -5.3029198235e-07
   2.0000000    1.1700320632e-05   -3.2286433610e-05    4.4989918224e-08   -5.3277692497e-07
   3.0000000    1.1682227654e-05   -3.2749452977e-05    4.4971551339e-08   -5.3525797088e-07
   4.0000000    1.1661975448e-05   -3.3194225833e-05    4.4953050892e-08   -5.3773501249e-07
   5.0000000    1.1639115593e-05   -3.3619387597e-05    4.4934419208e-08   -5.4020793914e-07
   6.0000000    1.1613459870e-05   -3.4024879955e-05    4.4915660268e-08   -5.4267663619e-07
   7.0000000    1.1584683988e-05   -3.4408475673e-05    4.4896775204e-08   -5.4514098553e-07
   8.0000000    1.1552323025e-05   -3.4766008022e-05    4.4877763551e-08   -5.4760086533e-07
   9.0000000    1.1515828576e-05   -3.5093958544e-05    4.4858625642e-08   -5.5005614614e-07
  10.0000000    1.1474546634e-05   -3.5389427776e-05    4.4839359790e-08   -5.5250669162e-07
  11.0000000    1.1427777754e-05   -3.5648828452e-05    4.4819964394e-08   -5.5495235895e-07
  12.0000000    1.1374673327e-05   -3.5867377187e-05    4.4800436006e-08   -5.5739300313e-07
  13.0000000    1.1314119969e-05   -3.6039054943e-05    4.4780770923e-08   -5.5982848758e-07
  14.0000000    1.1244771485e-05   -3.6156621238e-05    4.4760967302e-08   -5.6225869054e-07
  15.0000000    1.1165055919e-05   -3.6211768322e-05    4.4741021944e-08   -5.6468350808e-07
  16.0000000    1.1073074499e-05   -3.6195341726e-05    4.4720931795e-08   -5.6710284219e-07
  17.0000000    1.0966553597e-05   -3.6097392293e-05    4.4700694014e-08   -5.6951656842e-07
  18.0000000    1.0842826350e-05   -3.5906923807e-05    4.4680301949e-08   -5.7192449327e-07
  19.0000000    1.0698603810e-05   -3.5611316736e-05    4.4659745792e-08   -5.7432630929e-07
  20.0000000    1.0529776196e-05   -3.5195502638e-05    4.4639011351e-08   -5.7672157181e-07
  21.0000000    1.0331704606e-05   -3.4641154843e-05    4.4618081256e-08   -5.7910972397e-07
  22.0000000    1.0098552036e-05   -3.3925651828e-05    4.4596940498e-08   -5.8149018454e-07
  23.0000000    9.8208370175e-06   -3.3020411819e-05    4.4575582394e-08   -5.8386250003e-07
  24.0000000    9.4892156874e-06   -3.1892350219e-05    4.4554013072e-08   -5.8622653378e-07
  25.0000000    9.0883730535e-06   -3.0506178235e-05    4.4532254376e-08   -5.8858264092e-07
  26.0000000    8.5768584749e-06   -2.8821334503e-05    4.4510342936e-08   -5.9093175718e-07
  27.0000000    7.9705942750e-06   -2.6788365528e-05    4.4488321675e-08   -5.9327533056e-07
  28.0000000    7.3596379280e-06   -2.4256979089e-05    4.4466221561e-08   -5.9561504922e-07
  29.0000000    7.2889693451e-06   -2.0902937942e-05    4.4444043254e-08   -5.9795236274e-07
  30.0000000    1.0077394807e-05   -1.6431813997e-05    4.4421731858e-08   -6.0028785709e-07
  31.0000000    1.1170353736e-05   -1.1641012705e-05    4.4399167718e-08   -6.0262060849e-07
  32.0000000   -1.6125315586e-05   -1.1750427971e-05    4.4376172670e-08   -6.0494768843e-07
  33.0000000   -6.4926251874e-05   -1.4598856845e-05    4.4352548175e-08   -6.0726400246e-07
  34.0000000   -1.5123828190e-05    1.1521472078e-05    4.4328129897e-08   -6.0956261447e-07
  35.0000000    1.5622381724e-04    6.1337942389e-05    4.4302854247e-08   -6.1183563170e-07
  36.0000000    1.6033212582e-04    4.5577645612e-05    4.4276806549e-08   -6.1407559570e-07
  37.0000000   -1.1710950916e-04   -2.6709329845e-05    4.4250232713e-08   -6.1627720148e-07
  38.0000000   -3.2022432986e-04    2.6480117271e-06    4.4223506728e-08   -6.1843903509e-07
  39.0000000   -2.3160987567e-04    1.3202281546e-04    4.4197047012e-08   -6.2056495742e-07
  40.0000000    7.9489283737e-07    1.8437648576e-04    4.4171206338e-08   -6.2266475080e-07
  41.0000000    2.1200021465e-04    1.4046992309e-04    4.4146159048e-08   -6.2475372936e-07
  42.0000000    2.5771528991e-04    1.3978094130e-04    4.4121814846e-08   -6.2685118223e-07
  43.0000000   -2.3987166979e-05    2.4185166800e-04    4.4097792802e-08   -6.2897772990e-07
  44.0000000   -4.7775868361e-04    3.2890638055e-04    4.4073462446e-08   -6.3115191256e-07
  45.0000000   -6.6745418981e-04    3.5053986546e-04    4.4048057241e-08   -6.3338653023e-07
  46.0000000   -5.3080526873e-04    4.1711403824e-04    4.4020836993e-08   -6.3568537576e-07
  47.0000000   -4.4662238062e-04    5.2808244679e-04    4.3991264071e-08   -6.3804101386e-07
  48.0000000   -6.6267248211e-04    5.9657616117e-04    4.3959156522e-08   -6.4043413766e-07
  49.0000000   -1.0827279756e-03    6.1267152565e-04    4.3924778723e-08   -6.4283480426e-07
  50.0000000   -1.4845312136e-03    5.7603137978e-04    4.3888844395e-08   -6.4520553347e-07
  51.0000000   -1.7229212104e-03    4.2941460731e-04    4.3852422692e-08   -6.4750592054e-07
